Queries report:
Query number 1: Precision: 2.0 / 3.0 = .67; Recall: 2.0 / 7.0 = .29; F-score: .4
Query number 2: Precision: 2.0 / 8.0 = .25; Recall: 2.0 / 2.0 = 1.0; F-score: .4
Query number 3: Precision: 0.0 / 3.0 = .0; Recall: 0.0 / 4.0 = .0; F-score: .0
Query number 4: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 5.0 = .0; F-score: .0
Query number 5: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 5.0 = .0; F-score: .0
Query number 6: Precision: 3.0 / 5.0 = .6; Recall: 3.0 / 9.0 = .33; F-score: .43
Query number 7: Precision: 0.0 / 4.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
Query number 8: Precision: 2.0 / 8.0 = .25; Recall: 2.0 / 2.0 = 1.0; F-score: .4
Query number 9: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 8.0 = .0; F-score: .0
Query number 10: Precision: 2.0 / 3.0 = .67; Recall: 2.0 / 6.0 = .33; F-score: .44
Query number 11: Precision: 1.0 / 1.0 = 1.0; Recall: 1.0 / 2.0 = .5; F-score: .67
Query number 12: Precision: 7.0 / 8.0 = .88; Recall: 7.0 / 7.0 = 1.0; F-score: .93
Query number 13: Precision: 0.0 / 1.0 = .0; Recall: 0.0 / 3.0 = .0; F-score: .0
Query number 14: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 15: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 5.0 = .0; F-score: .0
Query number 16: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 3.0 = .0; F-score: .0
Query number 17: Precision: 1.0 / 1.0 = 1.0; Recall: 1.0 / 2.0 = .5; F-score: .67
Query number 18: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 19: Precision: 4.0 / 9.0 = .44; Recall: 4.0 / 5.0 = .8; F-score: .57
Query number 20: Precision: 0.0 / 6.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 21: Precision: 0.0 / 2.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
Query number 22: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
Query number 23: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 24: Precision: 1.0 / 2.0 = .5; Recall: 1.0 / 1.0 = 1.0; F-score: .67
Query number 25: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 1.0 = .0; F-score: .0
Query number 26: Precision: 0.0 / 0.0 = .0; Recall: 0.0 / 2.0 = .0; F-score: .0
